Visitor arrivals by country of residence and closest overseas port (Monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ALL COUNTRIES OF RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Adelaide,Apia,Beijing,Bangkok,Brisbane,Bandar Seri Begawan,Guangzhou,Cairns,Denpasar,Buenos Aires,Hong Kong,Honolulu,Niue,Osaka,Kuala Lumpur,Los Angeles,Melbourne,Nadi,Nagoya,Norfolk Island,Noumea,Tokyo,Coolangatta,Perth,Papeete,Rarotonga,Santiago,Seoul,San Francisco,Shanghai,Singapore,Suva,Sydney,Tonga,Taipei,Port Vila,Vancouver,TOTAL ALL CLOSEST OVERSEAS PORTS
2020M02,1710,2962,300,4575,37100,0,507,0,4864,1969,10741,3237,283,2677,3439,16553,56207,7378,4,35,1760,7813,9813,5641,3601,2532,1645,10783,11921,897,24907,192,85657,2080,3322,1225,7533,372745
2020M03,1003,1697,25,1808,18066,0,211,549,1875,1238,2598,1861,126,641,2154,7513,29053,3708,0,22,1032,2233,4723,3319,1589,1731,895,688,5400,86,11010,70,41784,1096,930,950,3315,175521
2020M04,0,28,0,84,229,0,25,0,0,0,41,0,10,0,46,155,208,14,0,0,0,1,0,0,1,12,17,7,11,22,4,0,280,43,0,5,16,1721
2020M05,0,89,0,0,398,0,113,0,0,0,92,0,14,0,5,318,432,3,0,0,0,0,0,0,7,47,0,22,0,40,0,3,573,10,0,2,0,2189
2020M06,0,59,0,0,563,0,131,0,0,2,116,0,22,0,0,606,698,36,0,0,0,38,0,0,4,51,0,21,0,99,99,0,715,28,0,4,0,3521
2020M07,0,75,2,219,457,0,95,0,0,0,281,0,9,0,68,459,380,54,0,0,0,48,0,0,0,47,0,32,28,136,226,0,621,14,0,1,0,3481
2020M08,0,57,0,196,631,0,126,0,0,0,396,100,19,0,222,451,656,118,0,3,0,73,0,16,0,106,0,84,166,205,429,0,520,17,16,3,0,4782
2020M09,0,63,0,29,874,0,42,0,0,0,265,1,19,0,690,568,554,43,0,0,1,119,0,0,0,64,0,42,338,123,709,0,478,15,37,6,0,5519
2020M10,0,58,0,0,700,0,49,0,0,0,345,2,13,0,733,620,439,76,0,0,0,54,5,0,0,76,2,33,94,106,906,0,486,9,14,2,0,5073
2020M11,0,27,0,0,701,0,63,0,0,0,292,53,19,0,682,911,375,55,0,0,0,74,0,0,3,44,0,38,0,107,832,0,629,8,7,3,0,5116
2020M12,0,82,0,0,1047,0,52,0,0,0,374,0,19,0,776,689,554,66,0,0,0,46,0,0,0,79,0,42,0,123,935,0,834,10,4,6,0,5904
2021M01,0,661,0,0,698,0,33,0,0,0,246,66,16,0,776,637,298,76,0,0,0,63,0,0,0,287,0,45,0,97,816,0,415,14,7,8,0,5448
2021M02,0,238,0,0,664,0,60,0,0,0,140,0,16,0,444,564,215,112,0,0,0,43,0,0,4,481,0,54,0,75,655,0,538,25,9,831,0,5297
2021M03,0,50,0,0,636,0,69,2,0,0,47,0,38,0,583,471,337,60,0,0,0,25,0,5,0,414,0,47,0,93,729,0,571,33,11,313,0,4639
2021M04,0,94,0,0,6768,0,62,0,0,0,43,0,73,0,626,458,8337,68,0,0,0,52,1938,859,0,657,0,47,0,54,623,0,10855,26,7,9,0,31931
2021M05,675,85,0,0,12492,0,124,0,0,0,56,0,65,0,502,427,13455,51,0,0,0,132,4022,2644,0,434,0,21,0,73,687,0,21228,22,0,17,0,57605
2021M06,677,116,0,0,14531,0,152,158,0,0,116,0,84,0,554,480,6333,84,0,47,0,88,4261,2660,0,591,0,46,0,107,1035,0,18888,20,17,7,0,51590
2021M07,749,46,0,0,7715,0,123,101,0,0,81,128,40,0,584,355,13060,45,0,20,0,52,1955,2207,0,847,0,49,0,48,829,1,141,22,15,308,0,30209
2021M08,0,63,0,0,107,0,76,0,0,0,44,0,56,0,404,207,3,26,0,0,0,73,0,1,0,372,0,16,0,42,510,0,248,24,20,148,0,2676
2021M09,0,38,0,0,99,0,52,0,0,0,25,0,22,0,501,178,15,22,0,0,0,57,0,2,0,71,0,21,302,17,651,0,101,19,10,0,0,2310
2021M10,0,159,0,0,295,0,43,0,0,0,33,3,9,0,485,267,193,73,0,0,1,59,0,42,0,94,0,18,144,36,1154,0,105,29,8,271,0,3687
2021M11,0,619,0,0,256,0,40,0,0,0,97,132,45,0,664,416,236,81,0,0,0,30,0,0,2,93,0,27,0,19,1347,0,202,176,8,458,0,5309
2021M12,0,535,0,0,473,0,61,0,0,0,77,0,56,0,992,500,404,77,0,0,1,41,0,24,0,289,0,32,0,48,1072,4,627,117,14,459,0,6161
2022M01,0,292,0,0,249,0,40,1,0,0,41,0,75,0,740,437,187,89,0,0,0,20,0,30,0,346,0,16,95,27,582,0,220,31,10,383,0,4033
2022M02,0,730,0,0,291,0,19,0,0,0,15,12,36,0,591,306,413,38,0,0,0,23,0,152,0,374,0,15,0,28,609,0,338,106,2,982,17,5235
2022M03,231,923,0,0,3861,0,91,0,0,0,3,37,55,0,1182,1326,5114,356,0,0,0,52,1237,813,0,351,0,42,0,39,3153,0,8179,349,52,395,458,28624
2022M04,692,399,0,0,9659,0,147,0,0,0,1,7,66,0,1530,1556,11757,613,0,2,0,123,2932,2215,1,683,108,98,288,18,3164,2,16615,134,24,765,533,54303
2022M05,1173,397,0,0,11418,0,752,0,0,0,187,4,53,0,2241,2172,13618,1931,0,0,328,382,2441,2057,685,925,525,606,1139,96,5085,0,22794,134,110,413,915,72755
2022M06,1076,700,0,0,13494,0,614,0,0,0,655,21,63,0,1883,2115,20861,1939,0,0,514,439,6127,1960,565,1266,496,609,873,207,4278,0,32528,295,201,126,573,94648
2022M07,2669,519,0,0,16759,0,695,274,0,0,1150,1248,133,0,2687,1947,27248,2774,0,0,591,1340,8140,3787,2353,1586,921,1160,849,335,6070,153,45477,397,350,342,521,134175
2022M08,1793,993,0,0,17064,0,444,351,7,0,812,890,134,0,2548,2432,27095,2819,0,0,997,1261,8558,3931,1034,1219,743,658,726,426,5768,210,43785,698,284,127,416,129753
2022M09,2464,1036,0,0,18523,0,775,509,0,0,1644,1377,120,0,4094,3184,31755,3579,0,31,574,1382,9338,4547,1559,1570,771,1124,1030,667,6641,265,48411,962,402,397,559,151270
2022M10,3478,1228,0,0,16282,0,972,404,0,0,3092,1951,128,0,5918,3847,29537,4789,0,33,1244,1619,6398,4289,2650,1844,1097,2145,4058,924,9843,211,46409,1036,621,1066,1067,161636
2022M11,4020,2839,0,3,25554,0,834,0,6,0,3225,2325,214,1,8101,3989,40050,5343,0,24,1505,1777,7927,4324,2605,2026,1405,3805,7806,1489,16419,4,65778,1569,1403,1312,4120,232684
2022M12,6366,2899,0,0,38407,0,1454,15,0,0,6999,4157,284,0,6827,8006,59882,11433,0,68,2056,4598,13377,6675,5017,2595,2409,8186,11134,2176,23203,0,92856,3284,2909,605,7985,364716
2023M01,5088,2861,0,0,23386,0,1365,0,0,0,4778,3406,119,0,2971,6327,43800,8282,0,28,2322,2776,7780,3756,3486,2906,1354,5314,7625,2222,11615,6,70621,1384,1486,278,5698,268298
2023M02,6113,1558,0,0,27248,0,1285,0,0,0,5181,3131,237,0,3753,8066,40096,7710,0,39,1493,4397,8257,4604,3909,2571,2008,5231,9407,1661,14701,0,67337,1476,1700,798,7874,268704
2023M03,5452,2082,9,0,27780,0,2362,89,64,0,4639,2795,183,0,4599,6594,41173,7807,0,56,1350,4844,8761,4399,2976,2373,2260,4404,8372,3766,16171,0,68197,1771,2020,1093,5272,266131
2023M04,3961,1691,0,0,24036,0,3745,373,381,0,4503,1415,146,0,4133,3247,37485,7050,0,42,1252,2338,7770,3665,2705,2282,1594,3875,4125,5647,14052,0,62930,1381,2408,434,1967,221271
2023M05,1681,1793,669,20,18465,0,2768,327,190,0,3797,1346,251,0,4231,2138,25606,6233,0,9,787,1957,6304,2602,2433,1821,1313,2784,2453,4354,11736,0,41244,1540,1106,753,1010,160335
2023M06,1697,1816,1038,0,23934,0,2898,362,209,0,4046,1359,113,0,3722,2344,31431,5377,0,21,1041,2040,8063,2861,1852,1489,1389,2226,2873,4287,10023,0,47973,1394,1336,383,832,178426
2023M07,2437,1583,2057,0,23444,0,3347,373,265,0,4950,2800,179,0,3765,4181,34285,6234,0,24,835,3921,7145,3278,3365,1761,1658,3919,4707,7565,9007,1,60280,1466,2303,266,1368,213806
2023M08,1758,2119,2015,0,26237,0,3865,414,119,0,5372,1470,282,0,4692,2610,35069,5766,0,10,1433,4841,7767,3406,1659,1942,1421,2748,2868,7387,10593,0,56408,1697,2026,210,1088,206783
2023M09,1250,1668,2122,0,28530,0,4259,453,141,0,4960,1487,163,4,4618,2303,40432,6254,0,39,908,2819,8347,4821,2246,1779,1804,3783,2524,8702,10316,10,62007,1807,2400,334,1040,224909
2023M10,1225,1885,1826,0,23941,0,4014,131,193,0,5747,2007,168,0,4301,3178,35865,7939,0,30,1538,2741,5877,4381,2993,1976,1699,4162,4199,8695,12524,0,59830,1366,2514,779,1805,225979
2023M11,1106,2624,2088,0,32456,0,7010,0,94,0,6604,2626,312,0,5176,10723,44078,9188,0,58,1270,4069,7925,5288,2713,2270,2018,6716,7412,9693,18067,0,73630,2152,2479,1243,4370,303429
2023M12,1478,3048,4347,6,42841,0,9672,0,0,0,11170,3733,284,0,5481,17978,59791,14945,0,35,2303,6124,12469,8043,4193,2461,2732,8967,11558,10283,27831,4,97869,4481,2475,464,7470,418869
2024M01,1166,1538,3158,0,27930,0,6848,0,0,0,8260,2945,375,0,3693,17507,48309,9454,0,33,2510,4717,7918,5532,3149,2482,1881,7108,8835,8215,16580,0,79568,1716,1710,443,5670,326427
2024M02,1317,2596,4304,0,34464,0,10592,0,2,0,12183,3697,247,0,4774,19760,43730,9192,0,37,1325,6383,9558,6534,3172,2401,2172,8281,10869,13572,21536,0,73803,1711,2351,908,7261,362836
2024M03,1268,2573,2920,0,36954,0,4467,0,1,0,7970,3164,311,0,4667,14588,48379,8621,0,38,1636,5803,9895,6905,3123,2389,2146,6459,10334,9030,18647,0,80755,1927,3121,1573,5499,340306
2024M04,979,1885,2511,0,25902,0,3914,477,672,0,5789,729,258,0,4358,4286,37078,6652,0,21,1009,2385,6596,4483,2470,1873,1794,2059,3288,8822,12465,0,62715,1393,2481,340,1704,225024
2024M05,863,1843,1597,0,22943,0,2691,295,367,0,4125,558,193,0,4456,3605,28593,6676,0,0,554,2228,6191,3867,2200,1942,1336,1669,2499,5676,11666,0,46780,1747,2456,489,1106,179665
2024M06,798,1694,1804,0,29566,0,2647,393,348,0,3888,461,310,0,3928,4404,30966,5344,0,0,82,2366,7542,4435,1621,1428,1219,1497,2882,5458,9274,1,47608,1246,1780,304,897,185294
2024M07,976,1460,2112,0,25798,0,7985,336,491,0,6542,483,315,0,3769,4392,35979,5502,0,0,248,3991,6882,4272,3462,1688,1474,2060,2497,8976,8657,0,62722,1505,2501,280,1084,221837
2024M08,840,1701,2249,0,30002,0,3916,358,534,0,6047,353,307,0,4314,1943,37980,5973,0,11,620,4461,8801,4020,1823,1759,1331,2069,2397,6770,9713,0,58621,1661,1677,133,830,214271
2024M09,1105,1742,2549,0,32013,0,3868,540,372,0,5812,514,318,0,4427,2192,42340,6081,0,14,283,3076,8860,4204,1831,2096,1475,1885,2629,7422,10585,0,61145,1935,1495,237,1299,226889
2024M10,1176,2115,2291,0,30084,0,3636,606,494,0,6034,881,272,0,4011,6252,36983,7609,0,49,841,2490,6604,3750,2743,2107,1668,2669,4122,6777,13702,3,65957,1607,2218,760,2008,240195
2024M11,1346,3218,4100,3,38319,0,7187,0,426,0,8169,1862,338,0,5146,11018,47032,8472,0,29,548,5426,7400,4770,3586,2137,2066,7130,8382,7877,20918,0,78626,2553,2761,1241,3279,321216
2024M12,1743,3455,5117,0,52055,0,12181,0,844,0,14504,3791,401,0,6117,21241,71670,14700,0,40,1087,7364,15873,6862,5032,2589,3327,9051,13496,10072,30506,0,100476,4066,2579,449,8250,469842
2025M01,1507,1931,4184,0,37182,0,11273,0,528,0,12148,3304,245,0,3034,16652,57784,7689,0,37,844,5367,11308,4984,3335,2705,2024,7595,12138,10167,19569,0,84127,1624,2930,344,6734,370238
2025M02,1265,2542,3100,0,35315,0,4223,0,702,0,12330,3882,208,0,3294,20554,46670,8453,0,33,619,6811,8440,5686,3221,2239,2359,7875,11923,8114,21538,0,73752,1588,2159,590,7572,354408
2025M03,1497,2681,2741,0,31427,0,3761,0,378,0,9667,2919,337,0,4480,12853,45465,8192,0,22,663,6314,7683,4996,3242,2322,2211,5880,9996,7494,17703,0,74622,1849,2632,830,5662,311808
2025M04,1399,1699,2259,0,32643,0,3871,1516,509,0,7306,1576,232,0,4007,6994,47631,6963,0,34,753,2469,10462,4937,2910,2223,1685,2034,4021,7250,13994,0,73226,1443,2942,228,1928,267271
2025M05,779,2145,1480,0,23290,0,2903,940,428,0,5539,556,359,0,4608,4458,29516,7072,0,0,553,2630,6729,3625,2899,1910,1071,2059,3252,5718,10913,0,48776,1655,1881,392,1074,190593
2025M06,747,1751,1155,0,28082,0,2233,954,500,0,5088,656,255,0,3938,2697,30178,6028,0,0,684,2489,8174,3093,1924,1853,1158,1620,3396,4001,9701,0,49203,1445,1555,294,908,186753
2025M07,772,1640,1807,0,32341,0,4152,1179,558,0,7263,543,395,0,4076,2512,40461,5778,0,2,662,4341,10756,4401,3343,1769,1341,2940,3168,6729,10277,0,65803,1613,2354,230,1154,236550
2025M08,728,1938,1504,0,34287,0,4232,1272,498,0,7241,392,341,0,4467,2063,38207,6644,0,0,856,5257,10148,4436,2047,2274,1146,2484,2706,6696,10494,0,60971,1649,2483,152,1177,230292
2025M09,1112,1922,1692,0,36939,0,4230,1544,431,0,5887,527,293,0,5234,2235,44860,6225,0,0,534,2745,11679,5041,2102,2109,1749,2946,2901,6284,11194,0,67852,1989,1878,224,1291,248571
2025M10,1573,2361,1845,0,32394,0,3450,1633,634,0,6991,962,283,0,4753,6528,43068,8690,0,0,890,2806,9229,4831,2955,2557,1755,3287,4549,6858,14496,0,69002,2050,2604,754,2360,262731
2025M11,3348,3258,2997,0,40885,0,8076,1376,603,0,10724,2388,281,0,6588,12194,49921,9867,0,1,1100,3790,9868,6047,3953,2696,1625,5921,8797,8503,20616,0,82459,2650,2981,649,3590,347577
2025M12,4185,3983,3931,0,56107,0,15310,1649,1126,350,17327,3906,425,0,7649,21110,74639,15884,0,0,1509,6668,18639,9671,5319,2779,3726,6253,13313,12078,30324,0,109052,3255,3292,280,9350,502640
Table information:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number, Magnitude = Units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is derived from a sample of records and hence may contain sample error. Caution should be used when using data with low cell values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitor arrivals are overseas residents arriving in New Zealand for a stay of less than 12 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In arrival series, the closest overseas port is the last port that the passenger's flight visited before it arrived in New Zealand. This may not be the person's port of origin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For detailed metadata about countries used in International Travel and Migration statistics, see DataInfo+. http://ow.ly/Mm9ba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Imputation of 'country of residence' for visitor arrivals who have not stated a response on their arrival card, occurred from August 2016 to October 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed changes in travel from a country may be partly due to these methodology changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From November 2018, 'country of residence' was fully captured and no longer sampled, resulting in an increase in the 'not stated' category.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From December 2019 country of residence remains fully captured, but is imputed for visitor arrivals who have not stated a response on their arrival card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbols:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. figure not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C: Confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E: Early Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P: Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R: Revised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S: Suppressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status flags are not displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table reference: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM333AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 February 2026 10:45am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Statistics New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: Information Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone: 0508 525 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email:info@stats.govt.nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
