code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type,place
DIK,KDIK,Dickinson Regional Airport,46.833332,-102.9,2506,http://dickinsonairport.com/,America/Boise,DIK,US,Dickinson,North Dakota,Stark County,AP,Dickinson
DIL,WPDL,Comoro Airport,-8.549616,125.525,68,,Asia/Dili,DIL,TL,Dili,Dili,,AP,Dili
DIM,DIDK,Dimbokro,6.75,-4.766667,282,,Africa/Abidjan,DIM,CI,Dimbokro,Lacs,,AP,Dimbokro
DIN,VVDB,Dien Bien Airport,21.3949323,103.00703615040092,1519,,Asia/Ho_Chi_Minh,DIN,VN,Dien Bien Phu,Huyen Dien Bien,,AP,Dien Bien Phu
DIO,,Diomede Island,65.75,-168.95,141,,America/Nome,DIO,US,,,,AP,Diomede Island
DIP,DFED,Diapaga,12.033333,2.033333,892,,Africa/Ouagadougou,DIP,BF,,,,AP,Diapaga
DIQ,SNDV,Divinopolis,-20.18147045,-44.87004452,2562,,America/Sao_Paulo,DIQ,BR,Divinopolis,Minas Gerais,Divinopolis,AP,Divinopolis
DIR,HADR,Aba Tenna D Yilma Airport,9.61338,41.857994,3802,,Africa/Addis_Ababa,DIR,ET,Dire Dawa,Dire Dawa,,AP,Dire Dawa
DIS,FCPD,Loubomo,-4.20510725,12.658930515565826,1007,,Africa/Brazzaville,DIS,CG,Dolisie,Niari,,AP,Dolisie
DIU,VA1P,Diu Airport,20.71439565,70.92204629253624,52,http://aai.aero/allAirports/diu_airpo_gi.jsp,Asia/Kolkata,DIU,IN,Diu,Daman and Diu,Diu,AP,Diu
DIV,,Divo,5.8,-5.25,311,,Africa/Abidjan,DIV,CI,Divo,Sud-Bandama,,AP,Divo
DIW,,Mawella Lagoon Airport,5.990751,80.73323,0,,Asia/Colombo,DIW,LK,,,,AP,Mawella Lagoon Airport
DIY,LTCC,Diyarbakir Airport,37.89232495,40.19921443496927,2227,,Europe/Istanbul,DIY,TR,Baglar,Diyarbakir,,AP,Baglar
DJA,DBBD,Djougou,9.6922065,1.636236,1466,,Africa/Porto-Novo,DJA,BJ,Djougou,Donga,,AP,Djougou
DJB,WIJJ,Sultan Thaha Airport,-1.63925445,103.6461509755231,65,,Asia/Jakarta,DJB,ID,Jambi City,Jambi,,AP,Jambi City
DJE,DTTJ,Melita Airport,33.87118,10.775145,68,,Africa/Tunis,DJE,TN,Houmt Souk,Madanin,,AP,Houmt Souk
DJG,DAAJ,Inedbirenne Airport,24.465279,9.488889,3356,,Africa/Algiers,DJG,DZ,,,,AP,Inedbirenne Airport
DJH,,Jebel Ali Seaplane Base,24.988889,55.023889,29,,Asia/Dubai,DJH,AE,Jebel Ali,,,AP,Jebel Ali
DJJ,WAJJ,Sentani Airport,-2.5782397,140.5184882521964,269,https://sentani-airport.co.id/en,Asia/Jayapura,DJJ,ID,Sentani,Papua,,AP,Sentani
DJM,FCBD,Djambala,-2.515203,14.755771029863677,2493,,Africa/Brazzaville,DJM,CG,,,,AP,Djambala
DJN,D66,Delta Junction,64.0488787,-145.7171901,1122,,America/Anchorage,DJN,US,,,,AP,Delta Junction
DJO,DIDL,Daloa,6.866944,-6.466667,790,,Africa/Abidjan,DJO,CI,Daloa,Haut-Sassandra,,AP,Daloa
DJU,BIDV,Djupivogur,64.6430303,-14.2775558,16,,Atlantic/Reykjavik,DJU,IS,Reydarfjoerdur,East,,AP,Reydarfjoerdur
DKA,,Katsina,13.0057213,7.659455216289262,1617,http://www.faannigeria.org/nigeria-airport.php?airport=18,Africa/Lagos,DKA,NG,Katsina,Katsina,,AP,Katsina
DKI,YDKI,Dunk Island,-17.9371869,146.140759,49,,Australia/Brisbane,DKI,AU,,,,AP,Dunk Island
DKK,KDKK,Dunkirk,42.483334,-79.333336,590,,America/New_York,DKK,US,Dunkirk,New York,Chautauqua County,AP,Dunkirk
DKL,,Kiwigana Lodge Heliport,59.2416,-122.9222,1272,,America/Vancouver,DKL,CA,,,,AP,Kiwigana Lodge Heliport
DKR,GOOY,Leopold Sedar Senghor International Airport,14.73702885,-17.48270937,78,http://www.aeroportdakar.com/,Africa/Dakar,DKR,SN,Mermoz Boabab,Dakar,,AP,Mermoz Boabab
DKS,UODD,Dikson,73.51668275,80.37453517180555,121,,Asia/Krasnoyarsk,DKS,RU,Dikson,Krasnoyarskiy,,AP,Dikson
DKV,YDVR,Docker River,-24.85969965,129.12215688442302,1896,,Australia/Darwin,DKV,AU,,,,AP,Docker River
DLA,FKKD,Douala Airport,4.01357,9.716386661669063,59,,Africa/Douala,DLA,CM,Douala,Littoral,,AP,Douala
DLB,,Dalbertis,56.7417,23.8911,32,,Pacific/Port_Moresby,DLB,PG,Olaine,Olaine,,AP,Olaine
DLC,ZYTL,Dalian Zhoushuizi International Airport,38.96412695,121.54142723753361,62,,Asia/Shanghai,DLC,CN,Dalian,Liaoning,Dalian Shi,AP,Dalian
DLE,LFGJ,Dole-Jura Airport,47.041742400000004,5.4276467654311045,600,https://www.aeroportdolejura.com/,Europe/Paris,DLE,FR,Choisey,Franche-Comte,Departement du Jura,AP,Choisey
DLF,KDLF,Laughlin AFB,29.366667,-100.9,1007,http://www.laughlin.af.mil/,America/Chicago,DRT,US,Del Rio,Texas,Val Verde County,AP,Del Rio
DLG,PADL,Dillingham Airport,59.0433568,-158.5112028,75,,America/Anchorage,DLG,US,,,,AP,Dillingham Airport
DLH,KDLH,Duluth International Airport,46.84183845,-92.20329685,1450,http://www.duluthairport.com/,America/Chicago,DLH,US,Hermantown,Minnesota,Saint Louis County,AP,Hermantown
DLI,VVDL,Lien Khuong Airport,11.75042785,108.3611709269135,3100,,Asia/Ho_Chi_Minh,DLI,VN,Duc Trong,Lam Dong,,AP,Duc Trong
DLK,YDLK,Dulkaninna,-29.016666,139.46666,68,,Australia/Adelaide,DLK,AU,,,,AP,Dulkaninna
DLL,KDLC,Dillon,34.416668,-79.36667,164,,America/New_York,DLL,US,Dillon,South Carolina,Dillon County,AP,Dillon
DLM,LTBS,Dalaman Airport,36.71183085,28.785783840398203,16,,Europe/Istanbul,DLM,TR,Dalaman,Mugla,,AP,Dalaman
DLN,KDLN,Dillon,45.216667,-112.63333,5091,,America/Denver,DLN,US,Dillon,Montana,Beaverhead County,AP,Dillon
DLO,,Dolomi,55.122223,-132.05,0,,America/Sitka,DLO,US,,,,AP,Dolomi
DLR,,Dalnerechensk Airport,45.8783,133.7363,282,,Asia/Vladivostok,DLR,RU,Dal'nerechensk,Primorskiy,,AP,Dal'nerechensk
DLS,KDLS,Columbia Gorge Regional/The Dalles Municipal Airport,45.6,-121.166664,85,http://www.columbiagorgeairport.com/,America/Los_Angeles,DLS,US,The Dalles,Oregon,Wasco County,AP,The Dalles
DLU,ZPDL,Dali Airport,25.6498551,100.31988697229497,7020,,Asia/Shanghai,DLU,CN,Dali,Yunnan,,AP,Dali
DLV,YDLV,Delissaville,-12.566667,130.63333,134,,Australia/Darwin,DLV,AU,Larrakeyah,Northern Territory,Darwin,AP,Larrakeyah
DLY,NVVD,Dillons Bay,-18.7,169.15,423,,Pacific/Efate,DLY,VU,,,,AP,Dillons Bay
DLZ,ZMDZ,Dalanzadgad,43.966667,104.683334,5147,,Asia/Ulaanbaatar,DLZ,MN,Ogoomor,OEmnoegovi,,AP,Ogoomor
DMA,KDMA,Davis Monthan AFB,32.17079565,-110.8699024,2683,,America/Phoenix,TUS,US,Tucson,Arizona,Pima County,AP,Tucson
DMB,UADD,Jambyl Airport,42.9,71.36667,2047,,Asia/Almaty,DMB,KZ,Taraz,Zhambyl,,AP,Taraz
DMD,YDMG,Doomadgee Airport,-17.93696505,138.81453566389803,150,,Australia/Brisbane,DMD,AU,,,,AP,Doomadgee Airport
DME,UUDD,Moscow Domodedovo Airport,55.40912105,37.904166212415895,534,http://www.domodedovo.ru/en/,Europe/Moscow,MOW,RU,Yakovlevskoye,Moskovskaya,,AP,Yakovlevskoye
DMK,VTBD,Don Mueang International Airport,13.9122207,100.60353142390704,39,http://www2.airportthai.co.th/airportnew/bangkok/index.asp?lang=en,Asia/Bangkok,BKK,TH,Don Mueang,Bangkok,,AP,Don Mueang
DMM,OEDF,King Fahd International Airport,26.467396649999998,49.79887844079486,108,,Asia/Riyadh,DMM,SA,Al Awjam,Eastern Province,,AP,Al Awjam
DMN,KDMN,Deming,32.2623094,-107.7205839,4288,http://www.cityofdeming.org/deming-community/municipal-airport,America/Denver,DMN,US,Deming,New Mexico,Luna County,AP,Deming
DMO,KDMO,Sedalia,38.709028450000005,-93.17533283,885,http://ci.sedalia.mo.us/content/198/224/default.aspx,America/Chicago,DMO,US,Sedalia,Missouri,Pettis County,AP,Sedalia
DMR,,Dhamar,14.533333,44.433334,7969,,Asia/Aden,DMR,YE,Dhamar,Dhamar,Madinat Dhamar,AP,Dhamar
DMT,SWDM,Diamantino,-14.5,-56.5,744,,America/Cuiaba,DMT,BR,,,,AP,Diamantino
DMU,VEMR,Dimapur Airport,25.88526825,93.76774143023712,433,,Asia/Kolkata,DMU,IN,Dimapur,Nagaland,Dimapur,AP,Dimapur
DNA,RODN,Kadena AB,26.3555999,127.7675,62,,Asia/Tokyo,OKA,JP,Okinawa,Okinawa,,AP,Okinawa
DNB,YDBR,Dunbar,-16.010834,142.39055,177,,Australia/Brisbane,DNB,AU,,,,AP,Dunbar
DND,EGPN,Dundee Airport,56.4526716,-3.02604042,22,http://www.hial.co.uk/dundee-airport.html,Europe/London,DND,GB,,,,AP,Dundee Airport
DNE,,Dallas North Airport,32.75,-97.38333,656,,America/Chicago,DFW,US,Westworth,Texas,Tarrant County,AP,Westworth
DNF,,Martuba,32.55,22.766666,1026,,Africa/Tripoli,DNF,LY,Darnah,Darnah,,AP,Darnah
DNG,YDGN,Doongan,-15.3894937,126.2993393,1295,,Australia/Perth,DNG,AU,,,,AP,Doongan
DNH,ZLDH,Dunhuang Airport,40.2,94.683334,3704,,Asia/Shanghai,DNH,CN,,,,AP,Dunhuang Airport
DNI,HSWD,Wad Medani,14.383801,33.5273548,1341,,Africa/Khartoum,DNI,SD,Wad Medani,Al Jazirah,,AP,Wad Medani
DNK,UKDD,Dnepropetrovsk International Airport,48.3612473,35.09662173364201,488,,Europe/Kiev,DNK,UA,Aviatorskoe,Dnipropetrovsk,,AP,Aviatorskoe
DNL,KDNL,Daniel Field,33.466667,-81.96667,127,http://www.augustaga.gov/index.aspx?NID=486,America/New_York,AGS,US,Augusta,Georgia,Richmond County,AP,Augusta
DNM,,Denham,-25.8975961,113.57594702287881,200,,Australia/Perth,DNM,AU,,,,AP,Denham
DNN,KDNN,Municipal,34.766666,-84.96667,764,,America/New_York,DNN,US,,,,AP,Municipal
DNO,SWDN,Dianopolis,-11.5953999,-46.8466988,2365,,America/Araguaina,DNO,BR,Taguatinga,Tocantins,Taguatinga,AP,Taguatinga
DNP,VNDG,Dang,28.1121283,82.2903094,2027,,Asia/Kathmandu,DNP,NP,,,,AP,Dang
DNQ,YDLQ,Deniliquin,-35.556631,144.94788406467342,308,http://www.deniliquin.nsw.gov.au/index.php?option=com_content&view=article&id=46786:deniliquin-airport&catid=350&Itemid=1540,Australia/Sydney,DNQ,AU,Deniliquin,New South Wales,Deniliquin,AP,Deniliquin
DNR,LFRD,Pleurtuit Airport,48.587776,-2.083611,193,,Europe/Paris,DNR,FR,Pleurtuit,Brittany,Departement d'Ille-et-Vilaine,AP,Pleurtuit
DNS,KDNS,Municipal,42.016666,-95.35,1266,http://www.denisonia.com/community/airport.asp,America/Chicago,DNS,US,Denison,Iowa,Crawford County,AP,Denison
DNT,,Downtown Heliport,33.766666,-117.86667,78,,America/Los_Angeles,SNA,US,Santa Ana,California,Orange County,AP,Santa Ana
DNU,AYDN,Dinangat,-6.154976,146.67773660731413,5216,,Pacific/Port_Moresby,DNU,PG,,,,AP,Dinangat
DNV,KDNV,Vermilion County,40.2003859,-87.59618326,672,http://vrairport.com/,America/Chicago,DNV,US,Danville,Illinois,Vermilion County,AP,Danville
DNX,HSGG,Galegu,14.1,33.066666,1440,,Africa/Khartoum,DNX,SD,Kinana,Sinnar,,AP,Kinana
DNZ,LTAY,Cardak Airport,37.78603475,29.697340303657736,2778,,Europe/Istanbul,DNZ,TR,Cardak,Denizli,,AP,Cardak
DOA,,Doany,-14.3681002,49.5107994,1204,,Indian/Antananarivo,DOA,MG,,,,AP,Doany
DOB,WAPD,Dobo Airport,-5.75,134,0,,Asia/Jayapura,DOB,ID,,,,AP,Dobo Airport
DOC,EGZJ,Dornoch,57.868827,-4.023288,32,http://www.dornochairfield.com/,Europe/London,DOC,GB,Dornoch,Scotland,Highland,AP,Dornoch
DOD,HTDO,Dodoma Airport,-6.17006815,35.754430618763045,3622,,Africa/Dar_es_Salaam,DOD,TZ,Dodoma,Dodoma,,AP,Dodoma
DOE,SMDJ,Djoemoe,4.016667,-55.483334,288,,America/Paramaribo,DOE,SR,,,,AP,Djoemoe
DOF,,Dora Bay,55.2125,-132.26666,0,,America/Sitka,DOF,US,,,,AP,Dora Bay
DOG,HSDN,Dongola,19.1533534,30.43057893663059,702,,Africa/Khartoum,DOG,SD,Dongola,Northern State,,AP,Dongola
DOH,OTHH,Hamad International Airport,25.267569,51.558067,78,http://dohahamadairport.com/,Asia/Qatar,DOH,QA,Doha,Baladiyat ad Dawhah,,AP,Doha
DOI,AYDO,Doini,-10.70118125,150.7230841868182,32,,Pacific/Port_Moresby,DOI,PG,,,,AP,Doini
DOK,UKCC,Donetsk International Airport,48.0713952,37.74079599426868,757,http://airport.dn.ua/,Europe/Kiev,DOK,UA,Avdiyivka,Donetsk,,AP,Avdiyivka
DOL,LFRG,Saint Gatien Airport,49.362778,0.164167,462,,Europe/Paris,DOL,FR,Saint-Gatien-des-Bois,Lower Normandy,Departement du Calvados,AP,Saint-Gatien-des-Bois
DOM,TDPD,Melville Hall Airport,15.546485449999999,-61.3020804,72,,America/Dominica,DOM,DM,,,,AP,Melville Hall Airport
DON,MGDL,Dos Lagunas,17.633333,-89.666664,1049,,America/Guatemala,DON,GT,,,,AP,Dos Lagunas
DOO,AYDR,Dorobisoro,-9.266667,147.55,2247,,Pacific/Port_Moresby,DOO,PG,,,,AP,Dorobisoro
DOP,VNDP,Dolpa,28.9853814,82.81900213950593,8182,,Asia/Kathmandu,DOP,NP,,,,AP,Dolpa
DOR,DFEE,Dori,14.0261569,-0.0650342,918,,Africa/Ouagadougou,DOR,BF,Dori,Sahel,Province du Seno,AP,Dori
DOS,,Dios,-5.533333,154.83333,298,,Pacific/Port_Moresby,DOS,PG,,,,AP,Dios
DOU,SBDO,Dourados Airport,-22.20140635,-54.9264022,1423,,America/Campo_Grande,DOU,BR,Dourados,Mato Grosso do Sul,Dourados,AP,Dourados
DOV,KDOV,Dover AFB,39.128304799999995,-75.46791932,22,http://www.dover.af.mil/,America/New_York,DOV,US,Dover Base Housing,Delaware,Kent County,AP,Dover Base Housing
DOX,YDRA,Dongara,-29.25,114.933334,13,,Australia/Perth,DOX,AU,,,,AP,Dongara
DOY,ZSDY,Dongying Airport,37.5027216,118.78642878231656,29,,Asia/Shanghai,DOY,CN,Shengli,Shandong Sheng,,AP,Shengli
DPA,KDPA,DuPage Airport,41.90513465,-88.25218333,731,http://www.dupageairport.com/,America/Chicago,CHI,US,Wayne,Illinois,DuPage County,AP,Wayne
DPB,SCBI,Pampa Guanaco Airport,-54.05,-68.808333,505,,America/Santiago,DPB,CL,,,,AP,Pampa Guanaco Airport
DPE,LFAB,Dieppe,49.961388,1.241111,390,,Europe/Paris,DPE,FR,Saint-Martin-en-Campagne,Haute-Normandie,Departement de la Seine-Maritime,AP,Saint-Martin-en-Campagne
DPG,KDPG,Michael AAF,40.233334,-112.75,4908,,America/Denver,DPG,US,Grantsville,Utah,Tooele County,AP,Grantsville
DPK,,Deer Park,41,-73.53333,0,,America/New_York,DPK,US,Old Greenwich,Connecticut,Fairfield County,AP,Old Greenwich
DPL,RPMG,Dipolog Airport,8.602411799999999,123.34199697345741,29,http://www.dipologcity.com/AccommodationsDipolog%20Airport.htm,Asia/Manila,DPL,PH,Dipolog,Zamboanga Peninsula,Province of Zamboanga del Norte,AP,Dipolog
DPO,YDPO,Devonport Airport,-41.1717979,146.42759229572462,29,http://www.tasports.com.au/infrastructure/devonport_airport.html,Australia/Hobart,DPO,AU,,,,AP,Devonport Airport
DPP,,Datia Airport,25.649972,78.503167,779,,Asia/Kolkata,DPP,IN,,,,AP,Datia Airport
DPS,WADD,Ngurah Rai International Airport,-8.7458582,115.16733897840365,36,http://www.angkasapura1.co.id/eng/location/bali.htm,Asia/Makassar,DPS,ID,Kelanabian,Bali,,AP,Kelanabian
DPT,UEBD,Deputatsky,69.39220535000001,139.88914014647418,889,,Asia/Yakutsk,DPT,RU,Deputatsky,Sakha,Ust'-Yanskiy Rayon,AP,Deputatsky
DPU,,Dumpu,-5.883333,145.75,987,,Pacific/Port_Moresby,DPU,PG,,,,AP,Dumpu
DQA,ZYDQ,Daqing Shi Airport,46.58736,125.22841,396,,Asia/Shanghai,DQA,CN,Wolitun,Heilongjiang Sheng,,AP,Wolitun
DQM,OODQ,Duqm International Airport,19.502193249999998,57.64392817085982,367,http://www.omanairports.com/,Asia/Muscat,DQM,OM,,,,AP,Duqm International Airport
DRA,KDRA,Desert Rock,36.666668,-115.96667,4261,,America/Los_Angeles,DRA,US,,,,AP,Desert Rock
DRB,YDBY,Derby,-17.3719837,123.66251856898089,32,,Australia/Perth,DRB,AU,,,,AP,Derby
DRC,,Dirico,-17.833332,20.7,3589,,Africa/Luanda,DRC,AO,,,,AP,Dirico
DRD,YDOR,Dorunda Station,-16.5,142.33333,160,,Australia/Brisbane,DRD,AU,,,,AP,Dorunda Station
DRE,KDRM,Drummond Island,46.0096005,-83.7414303,666,,America/Detroit,DRE,US,,,,AP,Drummond Island
DRF,3AK5,Drift River,60.5886111,-152.1619444,32,,America/Anchorage,DRF,US,,,,AP,Drift River
DRG,PADE,Deering Airport,66.0685517,-162.7661743,45,,America/Nome,DRG,US,,,,AP,Deering Airport
DRH,WAJC,Dabra,-3.25,138.56667,190,,Asia/Jayapura,DRH,ID,Dabra,Papua,,AP,Dabra
DRI,KDRI,Beauregard Parish,30.85,-93.28333,164,,America/Chicago,DRI,US,DeRidder,Louisiana,Beauregard Parish,AP,DeRidder
DRJ,SMDA,Drietabbetje,4.1114213,-54.6727808,242,,America/Paramaribo,DRJ,SR,,,,AP,Drietabbetje
DRK,MRDK,Drake Bay,8.718110249999999,-83.63672169,45,,America/Costa_Rica,DRK,CR,,,,AP,Drake Bay
DRN,YDBI,Dirranbandi,-28.5845215,148.2195588,554,,Australia/Brisbane,DRN,AU,,,,AP,Dirranbandi
DRO,KDRO,Durango-La Plata County Airport,37.15284235,-107.7586059,6515,http://www.durangogov.org/airport/index.cfm,America/Denver,DRO,US,Bayfield,Colorado,La Plata County,AP,Bayfield
DRP,RPLK,Bicol International Airport,13.112222,123.677222,313,,Asia/Manila,DRP,PH,,,,AP,Bicol International Airport
DRR,YDRI,Durrie,-25.616667,140.21666,164,,Australia/Brisbane,DRR,AU,,,,AP,Durrie
DRS,EDDC,Dresden International Airport,51.134299299999995,13.769480779988587,748,http://www.dresden-airport.de/en/index.html,Europe/Berlin,DRS,DE,,,,AP,Dresden International Airport
DRT,KDRT,Del Rio International Airport,29.333332,-100.97833,941,http://www.cityofdelrio.com/index.aspx?NID=412,America/Chicago,DRT,US,Ciudad Acuna,Coahuila,,AP,Ciudad Acuna
DRU,KDRU,Drummond,46.666668,-113.15,3930,,America/Denver,DRU,US,Philipsburg,Montana,Granite County,AP,Philipsburg
DRV,VRMD,Dharavandhoo AIrport,5.1563788,73.1297148,49,,Indian/Maldives,DRV,MV,Open Stage,,,AP,Open Stage
DRW,YPDN,Darwin International Airport,-12.41190185,130.88362011674445,62,http://www.darwin-airport.com.au/,Australia/Darwin,DRW,AU,Ludmilla,Northern Territory,Darwin,AP,Ludmilla
DRY,YDRD,Drysdale River,-15.666667,126.416664,1217,,Australia/Perth,DRY,AU,,,,AP,Drysdale River
DSA,EGCN,Doncaster Sheffield Airport,53.47641295,-1.006120646,62,http://www.robinhoodairport.com/,Europe/London,DSA,GB,Finningley,England,Doncaster,AP,Finningley
DSC,FKKS,Dschang,5.833333,10.091667,4878,,Africa/Douala,DSC,CM,Bali,North-West Province,,AP,Bali
DSD,TFFA,La Desirade,16.333332,-61.016666,0,,America/Guadeloupe,DSD,GP,Grande Anse,,,AP,Grande Anse
DSE,HADC,Combolcha,11.106068350000001,39.72660294,6059,,Africa/Addis_Ababa,DSE,ET,Kombolcha,Amhara,,AP,Kombolcha
DSG,,Dilasag,14,120,0,,Asia/Manila,DSG,PH,Cabra,Mimaropa,Province of Mindoro Occidental,AP,Cabra
DSI,KDTS,Destin-Fort Walton Beach Airport,30.383333,-86.5,22,http://www.flydts.com/,America/Chicago,DSI,US,Destin,Florida,Okaloosa County,AP,Destin
DSK,OPDI,Dera Ismail Khan,31.91095685,70.88688793168731,587,,Asia/Karachi,DSK,PK,Shorko,Khyber Pakhtunkhwa,,AP,Shorko
